#Parameters = {M=2; N=57.75; a=0.4; b=0.81; d=1.0125; er=3; g=0.01; p=0.8; srr=0.0025; wgr6=1.625}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
143.27000427246	-32.707215644698
143.38000488281	-30.848062765495
143.49000549316	-29.275638902245
143.60000610352	-27.909293611614
143.71000671387	-26.752515009059
143.82000732422	-25.835614262535
143.92999267578	-25.181225680961
144.03999328613	-24.791799707740
144.14999389648	-24.647658641521
144.25999450684	-24.708777738018
144.36999511719	-24.920780142596
144.47999572754	-25.229420386391
144.58999633789	-25.604055599965
144.69999694824	-26.059466902739
144.80999755859	-26.660997698512
144.91999816895	-27.512276989764
145.02999877930	-28.741958418395
145.13999938965	-30.505098712780
145.25000000000	-32.999036879896
145.36000061035	-36.413995512591
145.47000122070	-39.997161662894
145.58000183105	-39.678088300691
145.69000244141	-36.608996851245
145.80000305176	-33.986381029472
145.91000366211	-31.950717992435
146.02000427246	-30.249673057522
146.13000488281	-28.755255744405
146.24000549316	-27.455381087618
146.35000610352	-26.386306200180
146.46000671387	-25.582485426450
146.57000732422	-25.056389194406
146.67999267578	-24.795068403269
146.78999328613	-24.761703249767
146.89999389648	-24.899981487299
147.00999450684	-25.145936111327
147.11999511719	-25.451161005848
147.22999572754	-25.809917347660
147.33999633789	-26.271515120162
147.44999694824	-26.929275240580
147.55999755859	-27.900342211280
147.66999816895	-29.315923099190
147.77999877930	-31.327136696991
147.88999938965	-34.102839745866
148.00000000000	-37.615204321757
148.11000061035	-40.123851517065
148.22000122070	-38.694734184316
148.33000183105	-36.000984303405
148.44000244141	-33.715546661681
148.55000305176	-31.788643278106
148.66000366211	-30.070702674465
148.77000427246	-28.540147155963
148.88000488281	-27.244280012249
148.99000549316	-26.230575217505
149.10000610352	-25.518917434020
149.21000671387	-25.098895559315
149.32000732422	-24.933008031574
149.42999267578	-24.960729151563
149.53999328613	-25.108354158751
149.64999389648	-25.311428606847
149.75999450684	-25.545584982902
149.86999511719	-25.845174982223
149.97999572754	-26.293809562028
150.08999633789	-26.998402277406
150.19999694824	-28.069934574595
150.30999755859	-29.619375330087
150.41999816895	-31.758286854613
150.52999877930	-34.558690113407
150.63999938965	-37.745390897564
150.75000000000	-39.654180031282
150.86000061035	-38.645110019572
150.97000122070	-36.455420207106
151.08000183105	-34.240323861424
151.19000244141	-32.136384856207
151.30000305176	-30.203392023188
151.41000366211	-28.536848373915
151.52000427246	-27.205001453559
151.63000488281	-26.229113852645
151.74000549316	-25.592274605621
151.85000610352	-25.248570053347
151.96000671387	-25.127908680370
152.07000732422	-25.144006459275
152.17999267578	-25.215759174651
152.28999328613	-25.301148429576
152.39999389648	-25.421463178502
152.50999450684	-25.653124703233
152.61999511719	-26.096340433574
152.72999572754	-26.848150066894
152.83999633789	-27.991255596711
152.94999694824	-29.590173225369
153.05999755859	-31.676325684676
153.16999816895	-34.188663590637
153.27999877930	-36.812136632051
153.38999938965	-38.768879534561
153.50000000000	-39.133075630367
153.61000061035	-37.753174593152
153.72000122070	-35.342025433545
153.83000183105	-32.748975511417
153.94000244141	-30.456822566702
154.05000305176	-28.625852872694
154.16000366211	-27.267705191809
154.27000427246	-26.337859598039
154.38000488281	-25.765993823320
154.49000549316	-25.461883608532
154.60000610352	-25.319910008626
